HID,PID,SCLIDw4,WEIGHTA1w4,WEIGHTA2w4,WEIGHTB1w4,WEIGHTB2w4,SURVEY1w4,SURVEY2w4,COHORTw4,ARA1Aw4,ARA2Aw4,ARA1Bw4,SCLTYPw4,YTWINw4,YBRT1Aw4,YBRT1Bw4,YGENDERw4,YTIM1A01w4,YTIM1A02w4,YTIM1B01w4,YTIM1B02w4,YTIM1C01w4,YTIM1A03w4,YTIM1A04w4,YTIM1B03w4,YTIM1B04w4,YTIM1C02w4,YTIM1D01w4,YTIM1D02w4,YTIM1E01w4,YTIM1E02w4,YTIM1F01w4,YTIM1F02w4,YTIM1G01w4,YTIM1G02w4,YTIM1H01w4,YTIM1H02w4,YTIM1I01w4,YTIM1I02w4,YTIM1J01w4,YTIM1J02w4,YTIM1K01w4,YTIM1K02w4,YTIM1L01w4,YTIM1L02w4,YTIM1M01w4,YTIM1M02w4,YTIM1N01w4,YTIM1N02w4,YINT1A00w4,YINT1B00w4,YINT2A01w4,YINT2A02w4,YINT2A03w4,YINT2A04w4,YINT2A05w4,YINT2A06w4,YINT2A07w4,YINT2A08w4,YINT2A09w4,YINT2A10w4,YINT2A11w4,YINT2A12w4,YINT2A13w4,YINT2A14w4,YINT2A15w4,YINT2A16w4,YINT2B01w4,YINT2B02w4,YINT2B03w4,YINT2B04w4,YINT2B05w4,YINT2B06w4,YINT2B07w4,YINT2B08w4,YINT2B09w4,YINT2B10w4,YINT2B11w4,YINT2B12w4,YINT2B13w4,YINT2B14w4,YINT2B15w4,YINT2B16w4,YFUR1A00w4,YFUR1B00w4,YFUR2A01w4,YFUR2A02w4,YFUR2A03w4,YFUR2A04w4,YFUR2A05w4,YFUR2A06w4,YFUR2A07w4,YFUR2A08w4,YFUR2A08_Tw4,YFUR3A01w4,YFUR3A02w4,YFUR3A03w4,YFUR3B01w4,YFUR3B02w4,YFUR3B03w4,YFUR3B04w4,YFUR3B05w4,YFUR3C01w4,YFUR3C02w4,YFUR3C03w4,YFUR3C04w4,YFUR3C05w4,YPSY1A01w4,YPSY1A02w4,YPSY1A03w4,YPSY1A04w4,YPSY1A05w4,YPSY2A01w4,YPSY2A02w4,YPSY2A03w4,YPSY2A04w4,YPSY3A01w4,YPSY3A02w4,YPSY3A03w4,YPSY3A04w4,YPSY3A05w4,YPSY3A06w4,YPSY3A07w4,YPSY3A08w4,YPSY3A09w4,YPSY3A10w4,YPSY4A01w4,YPSY4A02w4,YPSY4A03w4,YPSY4A04w4,YPSY4A05w4,YPSY4A06w4,YPSY4A07w4,YPSY4B01w4,YPSY4B02w4,YPSY4B03w4,YPSY4B04w4,YPSY4B05w4,YPSY4B06w4,YPSY4C01w4,YPSY4C02w4,YPSY4C03w4,YPSY4C04w4,YPSY4C05w4,YPSY4C06w4,YPSY4C07w4,YPSY4C08w4,YPSY4D01w4,YPSY4D02w4,YPSY4D03w4,YPSY4D04w4,YPSY4D05w4,YPSY4E01w4,YPSY4E02w4,YPSY4E03w4,YPSY4E04w4,YPSY4E05w4,YPSY4E06w4,YPSY4E07w4,YPSY4E08w4,YPSY4E09w4,YPSY4E10w4,YPSY5A01w4,YPSY5A02w4,YPSY5A03w4,YPSY5A04w4,YPSY5A05w4,YPSY5A06w4,YPSY5A07w4,YPSY5A08w4,YPSY5A09w4,YPSY5A10w4,YPSY5A11w4,YPSY5A12w4,YPSY5A13w4,YPSY5A14w4,YPSY6A01w4,YPSY6A02w4,YPSY6A03w4,YPSY6A04w4,YPSY6A05w4,YPSY6A06w4,YPSY6A07w4,YPSY6A08w4,YPSY6A09w4,YPSY6A10w4,YPSY6A11w4,YPSY6A12w4,YPSY6A13w4,YPSY6A14w4,YPSY6A15w4,YPSY6A16w4,YPSY6A17w4,YPSY6A18w4,YPSY6A19w4,YPSY6A20w4,YPSY6A21w4,YPSY6A22w4,YPSY6A23w4,YPSY6A24w4,YPSY6A25w4,YPSY6A26w4,YPSY6A27w4,YPSY6A28w4,YPSY6A29w4,YPSY6A30w4,YPSY6Ascw4,YPSY7A01w4,YPSY7A02w4,YPSY7A03w4,YPSY7A04w4,YPSY7A05w4,YPSY7A06w4,YPSY7A07w4,YPSY7A08w4,YDLQ1A01w4,YDLQ1A02w4,YDLQ1A03w4,YDLQ1A04w4,YDLQ1A05w4,YDLQ1A06w4,YDLQ1A07w4,YDLQ1A08w4,YDLQ1A09w4,YDLQ1A10w4,YDLQ1A11w4,YDLQ1A12w4,YDLQ1A13w4,YDLQ1A14w4,YDLQ1A15w4,YDLQ2A01w4,YDLQ2A02w4,YDLQ2A03w4,YDLQ2A04w4,YDLQ2A05w4,YDLQ2A06w4,YDLQ2A07w4,YDLQ2A08w4,YDLQ2A09w4,YDLQ2A10w4,YDLQ2A11w4,YDLQ2A12w4,YDLQ2A13w4,YDLQ2A14w4,YDLQ2A15w4,YPHY1A00w4,YPHY1B00w4,YPHY1C00w4,YPHY2A00w4,YPHY2B00w4,YPHY2C00w4,YMDA1A00w4,YMDA1B01w4,YMDA1B02w4,YMDA1B03w4,YMDA1B04w4,YMDA1B05w4,YMDA1B06w4,YMDA1B07w4,YMDA1B08w4,YMDA1B09w4,YMDA1B10w4,YMDA1B11w4,YMDA1B12w4,YMDA1B13w4,YMDA1B13_Tw4,YMDA1C01w4,YMDA1C02w4,YMDA1C03w4,YMDA1C04w4,YMDA1C05w4,YMDA1C06w4,YMDA1C07w4,YMDA1C08w4,YMDA1C09w4,YMDA1C10w4,YMDA1C11w4,YMDA1C12w4,YMDA1C13w4,YMDA1C14w4,YMDA1C15w4,YACT1A01w4,YACT1A02w4,YACT1A03w4,YACT1A04w4,YACT1A05w4,YACT1A06w4,YACT1A07w4,YACT1A08w4,YACT1A09w4,YACT1B01w4,YACT1B02w4,YACT1B03w4,YACT1B04w4,YACT1B05w4,YACT1B06w4,YACT1B07w4,YACT1B08w4,YACT1B09w4,YACT2A01w4,YACT2A02w4,YACT2B01w4,YACT2B02w4,YACT3A00w4,YACT3B01w4,YACT3B02w4,YACT3B03w4,YACT3B04w4,YACT3B05w4,YACT3B06w4,YACT3B07w4,YACT3B08w4,YACT3B09w4,YEDU1A00w4,YEDU1B01w4,YEDU1B02w4,YEDU1C01w4,YEDU1C02w4,YEDU2A01w4,YEDU2A02w4,YEDU2A03w4,YEDU2A04w4,YEDU2A05w4,YEDU2A06w4,YEDU2A07w4,YEDU2A08w4,YEDU2A09w4,YEDU2A10w4,YEDU2A11w4,YEDU2A12w4,YEDU2A13w4,YEDU3A01w4,YEDU3A02w4,YEDU3A03w4,YEDU3A04w4,YEDU3A05w4,YEDU3A06w4,YEDU3A07w4,YEDU3A08w4,YEDU3A09w4,YEDU3A10w4,YEDU3A11w4,YEDU3A12w4,YEDU3A13w4,YEDU3A14w4,YFAM1A01w4,YFAM1A02w4,YFAM1A03w4,YFAM1A04w4,YFAM3A00w4,YFAM3B00w4,YFAM1B01w4,YFAM1B02w4,YFAM1B03w4,YFAM1B04w4,YFAM1C01w4,YFAM1C02w4,YFAM1C03w4,YFAM1C04w4,YFAM1D01w4,YFAM1D02w4,YFAM1D03w4,YFAM1D04w4,YFAM1E01w4,YFAM1E02w4,YFAM1E03w4,YFAM1E04w4,YFAM1F01w4,YFAM1F02w4,YFAM1F03w4,YFAM1F04w4,YFAM1G01w4,YFAM1G02w4,YFAM1G03w4,YFAM1G04w4,YFAM1H01w4,YFAM1H02w4,YFAM1H03w4,YFAM1H04w4,YFAM2A01w4,YFAM2A02w4,YFAM2A03w4,YFAM2A04w4,YFAM2B01w4,YFAM2B02w4,YFAM2B03w4,YFAM2B04w4,YFAM2C01w4,YFAM2C02w4,YFAM2C03w4,YFAM2C04w4,YFAM2D01w4,YFAM2D02w4,YFAM2D03w4,YFAM2D04w4,YFAM2E01w4,YFAM2E02w4,YFAM2E03w4,YFAM2E04w4,YFAM2F01w4,YFAM2F02w4,YFAM2F03w4,YFAM2F04w4,YRME1A01w4,YRME1A02w4,YRME1A03w4,YRME1A04w4,YRME1A05w4,YRME1A06w4,YRME1A07w4,YRME1A08w4,YRME1A09w4,YRME1A10w4,YRME1A11w4,YRME1A12w4,YRME1A13w4,YRME1A14w4,YRME1A15w4,YRME1A16w4,YRME1A17w4,YRME1A18w4,YRME1A19w4,YRME1A20w4,YRME1A21w4,YRME1A22w4,YRME1A23w4,YRME1A24w4,YRME1A25w4,YRME1A26w4,YRME1A27w4,YRME1A28w4,YRME1Ascw4
4796,1,51401,171.07263014363,.932817926640092,173.120728640501,.899694137019332,1,1,2,14,2,14,1,0,2005,2,2,7,0,25,30,3,10,0,25,30,3,4,5,6,5,4,5,1,1,5,5,3,2,4,3,3,4,1,1,1,2,4,5,3,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,2,3,4,4,2,8, ,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,3,4,4,3,1,3,1,4,4,1,1,4,3,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,1,1,1,3,4,3,4,3,3,4,4,4,4,4,4,4,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,2,2,3,2,3,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,161,45,7,1,3,4,4,4,4,2,3,4,4,4,4,4,8, ,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,3, , , , , ,3,3, ,1,1, , ,1,1,6,1,3,1,3,4,1,1,4,3,2,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,4,3,3,4,3,4,4,3,3,3,3,3,3,3,5,0,10,0,2,1, , , , ,3,0,5,0, , , , , , , , , , , , , , , , , , , , ,4,4,4,4,2,2,2,2,4,3,4,3,2,2,2,2,3,3,3,4,2,3,2,2,2,3,1,2,2,3,3,3,4,3,2,2,1,2,1,1,2,1,4,3,1,2,2,3,4,2,3,3,20
4797,1,53620,151.668865934361,.827013865034759,159.347712231072,.828116907591389,1,1,2,14,2,14,6,0,2005,3,1,6,50,24,30,2,12,0,26,30,2,6,6,7,1,7,1,1,4,4,1,1,1,1,1,7,7,6,6,1,1,1,2,4,2,4,3,3,3,3,2,2,2,2,2,2,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,1,1,1,8, ,3,2,2,2,2,2,2,2,2,3,3,2,2,3,3,3,3,2,3,4,2,2,4,3,3,3,1,1,3,3,1,3,2,3,2,3,2,2,3,2,2,2,1,2,1,4,1,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,6,2,3,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,7,171,66,8,1,4,4,4,4,4,1,3,4,4,3,4,3,8, ,2,1,3,2,2,2,1,2,1,3,2,2,3,3,2,2,2,1,1,2,1,2,2,1,3,3, , ,3, ,3,3, ,2,1,3, ,1,1,3,1,1,1,5,1,6,2,5,5,0,3, ,2,3,2,2,3,3,3,3,3,1,1,1,2,2,2,3,3,2,2,4,4,3,2,3,2,2,2,3,0,5,0,2,1, , , , ,4,0,16,0, , , , , , , , , , , , , , , , , , , , ,2,3,3,3,2,2,3,2,3,3,3,3,2,2,2,2,3,3,3,2,2,3,1,2,4,4,2,2,2,3,3,1,4,3,2,1,1,2,1,1,4,1,2,3,1,4,2,3,4,4,4,4,20
4798,1,53624,171.07263014363,.932817926640092,173.120788350013,.899694447324737,1,1,2,14,2,14,1,0,2005,4,2,6,30,24,0,3,10,0,26,0,3,5,4,4,1,3,3,1,1,5,5,5,5,3,3,1,4,4,3,3,3,3,6,3,3,3,3,3,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,3,2,3,4,3,3,2,2,2,8, ,2,2,3,2,2,3,2,2,3,3,2,2,2,3,3,3,3,2,3,3,3,2,3,2,2,3,2,2,3,2,2,3,2,2,3,3,3,2,2,3,3,2,2,2,1,2,2,2,3,3,2,1,1,2,3,3,2,2,2,3,2,3,1,2,1,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,2,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,174,65,4,1,4,4,4,4,4,3,4,3,4,3,4,3,8, ,2,3,2,2,3,2,2,1,1,3,1,1,2,2,2,2,1,2,2,2,1,1,1,1,3, ,3,3,3, , , , ,1,1, , ,1,1,1,1,1,1,2,2,1,1,2,3,2,3,2,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,7,0,3,2,3,0,7,0, , , , ,4,0,5,0, , , , , , , , , , , , , , , , ,3,4,4,3,2,2,2,2,3,4,3,3,3,2,1,2,3,3,3,3,2,3,2,2,3,4,1,2,2,3,1,1,4,3,2,4,1,2,2,1,4,1,4,3,1,2,2,1,4,4,3,3,23
4799,1, , , , , ,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4800,1,53620,151.668865934361,.827013865034759,161.936525634424,.841570757162859,1,1,2,14,2,14,6,0,2005,2,1,6,30,25,0,3,8,30,26,40,3,2,3,4,3,4,4,1,1,3,3,1,3,1,2,4,5,2,2,2,3,5,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,3,3,3,2,4,4,2,2,3,3,3,8, ,2,2,1,2,1,2,2,1,2,1,1,1,1,2,2,3,2,2,3,3,3,2,2,2,3,3,2,2,3,3,2,3,3,2,2,3,3,3,2,2,2,3,3,3,2,3,3,2,2,2,3,1,2,3,3,1,3,2,2,2,2,2,1,1,2,2,2,2,3,2,2,2,2,3,3,2,3,3,3,3,3,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,3,2,3,2,2,3,2,2,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,174,68,5,1,4,4,4,3,3,2,3,4,3,3,3,4,8, ,3,3,3,3,2,2,2,2,3,2,3,3,3,2,3,1,1,1,2,2,1,1,1,1, , , ,3,3, , , , ,1,1, , ,2, , , , , , , , , ,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,3,2,3,3,3,3,3,2,2,3,3,2,10,6,0,4,1, , , , ,2,0,7,0,3,0,7,0,2,10,7,0, , , , , , , , , , , , ,3,3,3,3,2,2,2,2,3,3,3,3,2,2,2,1,3,3,3,3,2,2,2,2,4,4,1,2,2,3,1,1,4,2,2,4,1,2,2,1,4,1,4,4,1,2,2,1,4,4,3,3,21
4801,1,53624,151.668865934361,.827013865034759,166.6316930895,.865971154878532,1,1,2,14,2,14,1,0,2005,5,1,6,0,24,0,3,10,0,24,0,3,6,7,5,5,6,6,1,1,3,3,1,1,4,3,7,7,5,5,3,4,1,1,2,6,3,3,3,3,3,3,3,3,2,2,2,2,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,4,4,3,1,3,4,3,8, ,2,2,2,1,2,1,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,2,3,2,3,4,1,1,3,3,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,2,2,2,3,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,0,180,75,5,1,4,4,4,4,4,3,3,4,4,4,4,3,8, ,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1, , , , ,3, , , , ,4,1,3, ,1,1,1,1,2,1,2,6,1,1,5,3,2,3,4,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,0,12,0,3,2,7,0,12,0, , , , ,7,0,12,0, , , , , , , , , , , , , , , , ,4,4,4,4,2,2,2,2,3,4,3,4,3,1,2,2,3,3,4,3,2,2,2,2,4,4,1,1,3,3,3,1,4,2,1,4,1,1,1,1,3,1,4,3,3,2,2,1,1,2,1,3,16
4802,1,53619,151.668865934361,.827013865034759,161.936550735381,.84157088761046,1,1,2,14,2,14,2,2,2005,4,1,7,20,23,30,3,10,0,26,0,4,3,4,6,1,1,1,1,1,3,3,1,1,2,2,3,5,1,1,2,4,2,2,3,4,3,3,4,3,3,2,2,2,2,2,2,3,2,1,2,1,2,2,2,1,3,2,1,3,3,3,3,1,2,3,3,2,1,3,1,4,4,2,3,1,1,8, ,2,2,2,2,3,3,3,3,2,2,3,3,2,2,2,3,3,2,3,3,2,2,3,3,2,3,3,2,3,3,2,3,2,2,3,2,2,3,2,1,3,2,1,1,1,1,1,1,2,3,1,1,2,3,3,3,3,3,3,1,2,1,1,2,1,2,2,2,2,3,3,2,2,2,4,4,4,4,4,3,3,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,6,175,70,6,1,3,4,2,4,4,3,3,3,4,4,1,4,8, ,2,3,2,3,2,1,2,1,1,4,1,2,2,1,3,1,1,1,1,2,1,1,1,1, , , , ,3, , , , ,1,1, , ,2, , , , , , , , , ,4,3,2,4,4,3,3,3,3,3,2,2,3,2,3,2,2,2,2,2,3,3,2,3,3,3,2,2,2,2,2,3,5,0,10,0,2,1, , , , ,6,0,12,0, , , , , , , , , , , , , , , , , , , , ,3,3,3,3,2,2,2,3,3,3,3,3,3,3,2,2,3,2,3,4,3,3,2,3,2,3,2,2,2,3,2,1,4,3,2,1,1,2,3,1,2,1,2,3,1,2,2,3,4,2,3,3,17
4803,1,53627,171.07263014363,.932817926640092,168.242706090853,.874343456470382,1,1,2,14,3,14,1,0,2005,9,2,6,30,24,0,3,8,30,25,0,3,5,6,4,5,5,5,1,1,3,4,4,4,4,5,4,5,5,4,2,4,4,4,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,3,2,4,3,4,3,1,1,2,8, ,2,2,2,2,2,3,2,2,2,2,2,2,2,3,4,3,3,3,3,3,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,3,2,2,2,2,2,1,1,1,1,1,2,2,2,2,3,1,2,2,3,2,3,3,3,3,2,1,2,2,2,2,2,2,3,3,3,3,4,3,3,3,3,4,4,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,-1,2,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,165,66,7,1,4,4,4,3,3,3,4,3,4,4,4,4,8, ,2,2,2,2,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,2, , , , , , , , ,3,1,1, , ,2, , , , , , , , , ,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,2,2,2,3,2,2,3,3,3,3,3,3,3,3,2,2,2,4,0,10,0,3,1, , , , ,5,10,10,0,3,0,8,30, , , , , , , , , , , , , , , , ,3,3,3,3,2,2,2,2,4,3,3,3,2,2,2,2,3,3,3,3,2,1,2,2,1,4,1,2,2,3,1,4,4,1,2,4,1,2,2,1,4,1,4,3,1,4,2,1,4,4,3,3,23
4804,1,53622,171.07263014363,.932817926640092,168.755114776815,.877006402116107,1,1,2,14,2,14,1,0,2005,12,2,7,10,24,0,3,11,0,25,0,4,3,4,6,6,2,2,1,1,4,4,1,1,1,1,5,6,4,4,3,3,4,4,3,3,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,3,3,3,3,4,3,2,1,2,3,2,2,3,3,2,3,4,1,2,8,1,8, ,1,1,1,2,3,3,3,3,2,2,2,2,2,2,2,3,2,2,3,3,2,2,3,2,2,3,3,2,3,3,2,2,1,2,3,2,2,3,1,1,1,3,2,1,1,1,1,1,1,3,3,2,2,3,3,3,3,3,2,2,3,2,2,3,3,2,2,2,3,3,3,3,3,3,4,4,4,4,3,3,3,3,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,160,58,5,1,4,4,4,4,4,1,3,4,3,3,4,2,8, ,2,3,3,3,1,2,2,2,2,2,2,3,3,3,2,1,1,1,1,2,1,1,1,1, , , , ,3, , , , ,4,1,3, ,2, , , , , , , , , ,3,5,0,2, ,3,3,3,3,4,3,4,4,3,2,2,1,1,2,2,3,3,2,3,3,3,3,3,2,3,2,2,1,0,2,0,3,2,2,0,2,0, , , , ,3,0,3,0, , , , , , , , , , , , , , , , ,2,3,3,3,2,2,2,2,3,3,3,3,3,3,2,2,2,2,3,2,2,3,2,2,4,4,1,2,2,3,3,1,4,3,2,4,1,2,4,1,2,3,4,3,1,4,2,3,4,3,3,3,23
4805,1,53555,171.07263014363,.932817926640092,173.647977590558,.902434206292615,1,1,2,14,2,14,2,0,2005,11,2,7,30,25,30,3,11,0,26,0,3,4,4,5,6,2,2,1,1,2,6,3,3,4,5,1,1,2,2,2,2,2,1,4,4,3,4,2,3,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,3,3,4,3,3,2,1,2,2,2,1,2,4,1,3,3,3,2,3,3,4,8, ,2,2,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,2,3,4,2,3,2,1,3,3,3,2,4,4,3,2,2,3,4,1,3,3,2,2,3,4,3,4,4,2,3,2,4,1,3,3,2,2,3,2,2,4,3,3,3,2,3,2,2,2,2,3,3,3,3,3,2,3,3,4,3,3,3,3,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,3,3,2,3,4,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,5,159,56,5,1,3,4,3,4,2,1,4,2,4,3,1,3,8, ,3,4,3,2,2,3,3,2,2,2,3,3,3,2,2,1,1,1,1,2,1,2,1,1, , , , ,3, ,3, , ,1,1, , ,2, , , , , , , , , ,4,3,2,4,3,3,3,4,4,3,3,3,3,2,2,2,2,2,3,3,4,3,3,3,3,4,4,2,4,4,4,3,5,0,12,0,3,2,2,0,5,0, , , , ,6,0,12,0, , , , , , , , , , , , , , , , ,3,3,3,3,2,1,1,2,4,3,3,3,3,3,2,2,3,3,3,3,2,2,2,2,2,3,3,2,2,3,2,3,3,3,2,2,1,2,2,2,2,1,4,3,2,2,2,3,4,2,3,3,14
4806,1,51405,171.07263014363,.932817926640092,173.647882179113,.902433710447211,1,1,2,14,2,14,1,0,2005,2,2,6,30,24,0,3,9,0,24,0,3,4,5,4,4,5,4,4,1,5,6,1,1,3,2,5,7,1,1,3,4,5,6,2,2,3,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,2,3,3,2,2,2,1,1,8, ,2,2,2,2,2,3,3,3,2,2,3,3,3,2,2,2,2,3,3,2,2,2,2,3,3,3,2,3,3,3,2,3,2,3,3,2,3,2,2,3,3,3,3,3,2,2,2,3,2,2,4,3,3,4,4,4,4,3,2,3,4,2,4,4,4,2,2,3,3,4,3,3,3,4,4,4,4,4,4,3,3,3,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,5,3,2,2,4,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,158,56,3,1,3,4,3,4,4,2,4,4,4,2,3,3,8, ,3,2,2,3,2,3,3,3,2,2,2,2,3,3,2,1,2,1,1,3,1,1,1,1, ,4, , ,3, , , , ,1,4, ,3,1,1,1,1,1,1,1,2,1,1,3,3,2,3,4,2,3,3,2,3,2,3,3,2,3,2,2,2,2,3,2,2,2,2,3,3,3,2,2,2,2,2,1,30,12,0,2,2,3,0,2,0, , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,2,2,2,3,2,3,3,3,2,2,2,2,3,3,2,3,3,3,3,2,4,1,1,2,2,4,3,1,4,3,1,4,2,2,1,1,4,4,4,3,1,1,2,1,4,3,2,3,20
